item_URI,short_ID,lccn,title,image_URL_large
http://www.loc.gov/item/98508385/,98508385,98508385,"Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor.",https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708
http://www.loc.gov/item/2014650180/,2014650180,2014650180,"Buffalo, N.Y. -  Public library - children's room",https://tile.loc.gov/storage-services/service/pnp/ds/06500/06507v.jpg#h=826&w=1024
http://www.loc.gov/item/2018699890/,2018699890,2018699890,"The Route 9 Library and Innovation Center in New Castle, Delaware, defines itself as ""a community learning and resource hub""",https://tile.loc.gov/storage-services/service/pnp/highsm/51700/51772v.jpg#h=570&w=1024
http://www.loc.gov/item/2013646484/,2013646484,2013646484,"Interior of the Hutzler Reading room located in Gilman Hall, on the Johns Hopkins University campus in Baltimore, Maryland",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18400:18402/full/pct:25/0/default.jpg#h=1024&w=1536
http://www.loc.gov/item/2007684791/,2007684791,2007684791,"[Reading Room, Billings Memorial Library, University of Vermont, Burlington, Vermont]",https://tile.loc.gov/storage-services/service/pnp/ppmsca/15300/15375v.jpg#h=1024&w=823
http://www.loc.gov/item/nv0134/,nv0134,,"Hawthorne Naval Ammunition Depot, Babbitt Housing Area, Library, U.S. Highway 95, Hawthorne, Mineral County, NV",https://tile.loc.gov/storage-services/service/pnp/habshaer/nv/nv0100/nv0134/photos/043970pv.jpg#h=819&w=1024
http://www.loc.gov/item/2012631625/,2012631625,2012631625,"Norfolk Library, Norfolk, Connecticut",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20200:20216/full/pct:25/0/default.jpg#h=772&w=1551
http://www.loc.gov/item/2018663053/,2018663053,2018663053,"Even a sculpted gila monster appears to be into reading near a Little Free Library (also known as a ""birdhouse library"") in the modest Dunbar Spring neighborhood of Tucson, Arizona",https://tile.loc.gov/storage-services/service/pnp/highsm/49300/49335v.jpg#h=618&w=1024
http://www.loc.gov/item/2010630352/,2010630352,2010630352,"Public Library, Salt Lake City, Utah",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:04300:04362/full/pct:25/0/default.jpg#h=1358&w=1810
http://www.loc.gov/item/2016851550/,2016851550,2016851550,"Reading room for blind, Library of Congress, [Washington, D.C.]",https://tile.loc.gov/storage-services/service/pnp/npcc/28700/28724v.jpg#h=788&w=1024
http://www.loc.gov/item/2014633407/,2014633407,2014633407,"The easily identifiable (thanks to its huge artistic sign) downtown J. Erik Jonsson Central Library, across from City Hall",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:29200:29207/full/pct:25/0/default.jpg#h=1840&w=1228
http://www.loc.gov/item/2016815290/,2016815290,2016815290,"Little Rock Public Library, Little Rock, Ark.",https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024
http://www.loc.gov/item/2014647618/,2014647618,2014647618,Main public library building - Detroit,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560v.jpg#h=727&w=1024
http://www.loc.gov/item/ak0345/,ak0345,,"Juneau Public Library, 292 Marine Way, Juneau, Juneau Borough, AK",https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0300/ak0345/photos/033063pv.jpg#h=817&w=1024
http://www.loc.gov/item/nj0089/,nj0089,,"Princeton University, Library, Nassau Street between Witherspoon & Tulane Streets, Princeton, Mercer County, NJ",https://tile.loc.gov/storage-services/service/pnp/habshaer/nj/nj0000/nj0089/photos/107604pv.jpg#h=733&w=1024
http://www.loc.gov/item/2012630164/,2012630164,2012630164,"Patterson Park Branch of the Enoch Pratt Free Library System located on the eastern side of Library Square, Baltimore, Maryland",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20400:20483/full/pct:25/0/default.jpg#h=1028&w=1536
http://www.loc.gov/item/2018698612/,2018698612,2018698612,"You wouldn't guess that this is a public library, but it is, in the little Wenatchee National Forest town of [Skykomish], Washington",https://tile.loc.gov/storage-services/service/pnp/highsm/50400/50410v.jpg#h=558&w=1024
http://www.loc.gov/item/2017770391/,2017770391,2017770391,"Public library in the southwestern section of Mississippi, in the piney woods",https://tile.loc.gov/storage-services/service/pnp/fsa/8b32000/8b32200/8b32222v.jpg#h=1024&w=963
http://www.loc.gov/item/2013646466/,2013646466,2013646466,"George Peabody Library, formerly the Library of the Peabody Institute of the City of Baltimore, is part of the Johns Hopkins Sheridan Libraries. Baltimore, Maryland",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18300:18384/full/pct:25/0/default.jpg#h=1940&w=2582
http://www.loc.gov/item/2007682033/,2007682033,2007682033,Main entrance. Boston Public Library,https://tile.loc.gov/storage-services/service/pnp/ppmsca/15400/15426v.jpg#h=1024&w=822
http://www.loc.gov/item/2017884872/,2017884872,2017884872,"The Cook Memorial Library, the public library of Tamworth, New Hampshire. The 1895 Queen Anne Victorian building began as a private ""social library"" established by Parson Samuel Hidden; the building was given to the village in memory of Charles Cook, a prominent local businessman and politician",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:48200:48241/full/pct:25/0/default.jpg#h=2380&w=1945
http://www.loc.gov/item/2017843202/,2017843202,2017843202,"Daytona Beach, Florida. Bethune-Cookman College. Students in the library reading room",https://tile.loc.gov/storage-services/service/pnp/fsa/8d24000/8d24700/8d24709v.jpg#h=1024&w=976
http://www.loc.gov/item/2019631085/,2019631085,2019631085,"Library. Herbert Hoover Federal Building located in downtown Washington, D.C.",https://tile.loc.gov/storage-services/service/pnp/highsm/53300/53335v.jpg#h=1000&w=1024
http://www.loc.gov/item/2016632941/,2016632941,2016632941,"An upright polar bear in Cincinnati, Ohio not at the zoo, since it's stuffed, or at the city's Museum Center, which owns the specimen, but at Cincinnati's main library",https://tile.loc.gov/image-services/iiif/service:pnp:highsm:42100:42123/full/pct:25/0/default.jpg#h=1978&w=1398
http://www.loc.gov/item/dc0121/,dc0121,,"Georgetown University, Healy Building, Thirty-seventh & O Streets, Northwest, Washington, District of Columbia, DC",https://tile.loc.gov/storage-services/service/pnp/habshaer/dc/dc0100/dc0121/color/376695cv.jpg#h=1024&w=752
